"","Station","Grid.ID","LAT","LON","Gear.Sampled","Mean_Z"
"94",93,"HD157",56.0554,-156.2506,"BONGO",203.692708333333
"95",94,"HF157",55.9406,-156.0304,"BONGO",86.0720720720721
"96",95,"HH157",55.8258,-155.8109,"BONGO",54.9272727272727
"97",96,"HF159",56.0615,-155.8251,"BONGO",55.9602649006623
"98",97,"HD159",56.1763,-156.0447,"BONGO",220.423076923077
"99",98,"HB159",56.2911,-156.265,"BONGO",261.834146341463
"100",99,"GZ159",56.4059,-156.4859,"BONGO",206.63503649635
"101",100,"GX159",56.5207,-156.7075,"BONGO",148.494791666667
"102",101,"GV159",56.6354,-156.9298,"BONGO",91.8073394495413
"103",102,"GV161",56.7564,-156.7208,"BONGO,CTD",135.541666666667
"104",103,"GX161",56.6416,-156.4991,"BONGO,CTD",175.924369747899
"105",104,"GZ161",56.5268,-156.2781,"BONGO,CTD",222.703862660944
"106",105,"HB161",56.412,-156.0578,"BONGO,CTD",236.314960629921
"107",106,"HD161",56.2973,-155.8382,"BONGO,CTD",89.6304347826087
"108",107,"HF161",56.1825,-155.6192,"BONGO,CTD",77.5833333333333
"109",108,"HF163",56.3034,-155.4126,"BONGO",43.7857142857143
"110",109,"HD163",56.4182,-155.631,"BONGO",66.0882352941177
"111",110,"HB163",56.533,-155.85,"BONGO",223.640625
"112",111,"GZ163",56.6478,-156.0697,"BONGO",285.087719298246
"113",112,"GX163",56.7626,-156.29,"BONGO",176.573529411765
"114",113,"GV163",56.8774,-156.5111,"BONGO",71.1769911504425
"115",114,"GV165",56.9983,-156.3007,"BONGO",79.6588235294118
"116",115,"GX165",56.8835,-156.0803,"BONGO",215.774193548387
"117",116,"GZ165",56.7687,-155.8606,"BONGO",282.161904761905
"118",117,"HB165",56.654,-155.6415,"BONGO",225.470085470085
"119",118,"HD165",56.5392,-155.4231,"BONGO",58.9736842105263
"120",119,"HD167",56.6601,-155.2146,"BONGO",63.3456790123457
"121",120,"HB167",56.7749,-155.4324,"BONGO",228.125786163522
"122",121,"GZ167",56.8897,-155.6508,"BONGO",271.585858585859
"123",122,"GX167",57.0045,-155.8698,"BONGO",278.191256830601
"124",123,"GV167",57.1193,-156.0896,"BONGO",74.9047619047619
"125",124,"GT169",57.355,-156.0833,"BONGO",38.5949367088608
"126",125,"GV169",57.2402,-155.8778,"BONGO",238.189024390244
"127",126,"GX169",57.1254,-155.6587,"BONGO",266.32380952381
"128",127,"GZ169",57.0107,-155.4403,"BONGO",257.292397660819
"129",128,"HB169",56.8959,-155.2225,"BONGO",208.762886597938
"130",129,"HD169",56.7811,-155.0054,"BONGO",58.15625
"131",130,"HD171",56.902,-154.7956,"BONGO",66
