,Station,Grid.ID,LAT,LON,Gear.Sampled,Mean_Z,BONGO_Time,CTD_Time,LINE8_Time,Total_Gear_Time
61,60,GX149,55.9159,-157.7397,BONGO,83.4,0.244540945,0,0,0.244540945
62,61,GZ149,55.8011,-157.515,BONGO,107.627907,0.286530448,0,0,0.286530448
63,62,HB149,55.6863,-157.2911,BONGO,94.50909091,0.263794164,0,0,0.263794164
64,63,HD149,55.5715,-157.0678,BONGO,85.74489796,0.248604899,0,0,0.248604899
65,64,HF149,55.4567,-156.8452,BONGO,95.2745098,0.265120716,0,0,0.265120716
66,65,HH149,55.342,-156.6232,BONGO,132.8518519,0.33024619,0,0,0.33024619
67,66,HJ149,55.2272,-156.402,BONGO,207.3818182,0.446620971,0,0,0.446620971
68,67,HJ151,55.3481,-156.2004,BONGO,190.5757576,0.430287771,0,0,0.430287771
69,68,HH151,55.4629,-156.4211,BONGO,200.8888889,0.446620971,0,0,0.446620971
70,69,HF151,55.5777,-156.6424,BONGO,224.0523256,0.446620971,0,0,0.446620971
71,70,HD151,55.6925,-156.8644,BONGO,95.83018868,0.266083765,0,0,0.266083765
72,71,HB151,55.8073,-157.0871,BONGO,95.29268293,0.265152212,0,0,0.265152212
73,72,GZ151,55.9221,-157.3105,BONGO,105.0485437,0.282060141,0,0,0.282060141
74,73,GX151,56.0368,-157.5346,BONGO,107.7926829,0.286816022,0,0,0.286816022
75,74,GV151,56.1516,-157.7594,BONGO,146.0344828,0.353093071,0,0,0.353093071
76,75,GV153,56.2726,-157.553,BONGO,135.0282486,0.334018113,0,0,0.334018113
77,76,GX153,56.1578,-157.3288,BONGO,155.5371901,0.369562259,0,0,0.369562259
78,77,GZ153,56.043,-157.1053,BONGO,110.7253886,0.291898709,0,0,0.291898709
79,78,HB153,55.9282,-156.8826,BONGO,154.1056911,0.367081321,0,0,0.367081321
80,79,HD153,55.8134,-156.6605,BONGO,223.3368421,0.446620971,0,0,0.446620971
81,80,HF153,55.6987,-156.439,BONGO,240.4193548,0.446620971,0,0,0.446620971
82,81,HH153,55.5839,-156.2183,BONGO,247.7062937,0.446620971,0,0,0.446620971
83,82,HJ153,55.4691,-155.9982,BONGO,205.675,0.446620971,0,0,0.446620971
84,83,HJ155,55.59,-155.7954,BONGO,196.8484848,0.441159065,0,0,0.441159065
85,84,HH155,55.7048,-156.0149,BONGO,214.3648649,0.446620971,0,0,0.446620971
86,85,HF155,55.8196,-156.235,BONGO,230.3142857,0.446620971,0,0,0.446620971
87,86,HD155,55.9344,-156.4559,BONGO,202.8318584,0.446620971,0,0,0.446620971
88,87,GZ155,56.164,-156.8995,BONGO,79.41052632,0.237626769,0,0,0.237626769
89,88,GX155,56.2787,-157.1224,BONGO,121.3413174,0.310297226,0,0,0.310297226
90,89,GV155,56.3935,-157.3459,BONGO,58.73267327,0.201789881,0,0,0.201789881
91,90,GX157,56.3997,-156.9153,BONGO,126.8928571,0.319918627,0,0,0.319918627
92,91,GZ157,56.2849,-156.693,BONGO,107.5204082,0.286344141,0,0,0.286344141
93,92,HB157,56.1701,-156.4715,BONGO,231.9098361,0.446620971,0,0,0.446620971
94,93,HD157,56.0554,-156.2506,BONGO,213.6927083,0.446620971,0,0,0.446620971
95,94,HF157,55.9406,-156.0304,BONGO,96.07207207,0.266502975,0,0,0.266502975
96,95,HH157,55.8258,-155.8109,BONGO,64.92727273,0.212525772,0,0,0.212525772
97,96,HF159,56.0615,-155.8251,BONGO,65.9602649,0.214316055,0,0,0.214316055
98,97,HD159,56.1763,-156.0447,BONGO,230.4230769,0.446620971,0,0,0.446620971
99,98,HB159,56.2911,-156.265,BONGO,271.8341463,0.446620971,0,0,0.446620971
100,99,GZ159,56.4059,-156.4859,BONGO,216.6350365,0.446620971,0,0,0.446620971
101,100,GX159,56.5207,-156.7075,BONGO,158.4947917,0.374688093,0,0,0.374688093
102,101,GV159,56.6354,-156.9298,BONGO,101.8073394,0.276442794,0,0,0.276442794
103,102,GV161,56.7564,-156.7208,"BONGO,CTD",145.5416667,0.352238969,0.208165509,0,0.560404478
104,103,GX161,56.6416,-156.4991,"BONGO,CTD",185.9243697,0.422226428,0.247426471,0,0.669652899
105,104,GZ161,56.5268,-156.2781,"BONGO,CTD",232.7038627,0.446620971,0.286850262,0,0.733471233
106,105,HB161,56.412,-156.0578,"BONGO,CTD",246.3149606,0.446620971,0.2975627,0,0.744183672
107,106,HD161,56.2973,-155.8382,"BONGO,CTD",99.63043478,0.27266999,0.163529589,0,0.43619958
108,107,HF161,56.1825,-155.6192,"BONGO,CTD",87.58333333,0.2517911,0.15181713,0,0.40360823
109,108,HF163,56.3034,-155.4126,BONGO,53.78571429,0.193216283,0,0,0.193216283
110,109,HD163,56.4182,-155.631,BONGO,76.08823529,0.23186889,0,0,0.23186889
111,110,HB163,56.533,-155.85,BONGO,233.640625,0.446620971,0,0,0.446620971
112,111,GZ163,56.6478,-156.0697,BONGO,295.0877193,0.446620971,0,0,0.446620971
113,112,GX163,56.7626,-156.29,BONGO,186.5735294,0.42335149,0,0,0.42335149
114,113,GV163,56.8774,-156.5111,BONGO,81.17699115,0.240688238,0,0,0.240688238
115,114,GV165,56.9983,-156.3007,BONGO,89.65882353,0.255388142,0,0,0.255388142
116,115,GX165,56.8835,-156.0803,BONGO,225.7741935,0.446620971,0,0,0.446620971
117,116,GZ165,56.7687,-155.8606,BONGO,292.1619048,0.446620971,0,0,0.446620971
118,117,HB165,56.654,-155.6415,BONGO,235.4700855,0.446620971,0,0,0.446620971
119,118,HD165,56.5392,-155.4231,BONGO,68.97368421,0.219538627,0,0,0.219538627
120,119,HD167,56.6601,-155.2146,BONGO,73.34567901,0.227115752,0,0,0.227115752
121,120,HB167,56.7749,-155.4324,BONGO,238.1257862,0.446620971,0,0,0.446620971
122,121,GZ167,56.8897,-155.6508,BONGO,281.5858586,0.446620971,0,0,0.446620971
123,122,GX167,57.0045,-155.8698,BONGO,288.1912568,0.446620971,0,0,0.446620971
124,123,GV167,57.1193,-156.0896,BONGO,84.9047619,0.247148855,0,0,0.247148855
125,124,GT169,57.355,-156.0833,BONGO,48.59493671,0.184220121,0,0,0.184220121
126,125,GV169,57.2402,-155.8778,BONGO,248.1890244,0.446620971,0,0,0.446620971
127,126,GX169,57.1254,-155.6587,BONGO,276.3238095,0.446620971,0,0,0.446620971
128,127,GZ169,57.0107,-155.4403,BONGO,267.2923977,0.446620971,0,0,0.446620971
129,128,HB169,56.8959,-155.2225,BONGO,218.7628866,0.446620971,0,0,0.446620971
130,129,HD169,56.7811,-155.0054,BONGO,68.15625,0.218121928,0,0,0.218121928
131,130,HD171,56.902,-154.7956,BONGO,76,0.231715969,0,0,0.231715969
132,131,HB171,57.0168,-155.012,BONGO,148.9596774,0.35816274,0,0,0.35816274
133,132,GZ171,57.1316,-155.2291,BONGO,235.7011494,0.446620971,0,0,0.446620971
134,133,GX171,57.2464,-155.4469,BONGO,261.6342857,0.446620971,0,0,0.446620971
135,134,GV171,57.3612,-155.6653,BONGO,280.7096774,0.446620971,0,0,0.446620971
136,135,GV173,57.4821,-155.4521,BONGO,294.2380952,0.446620971,0,0,0.446620971
137,136,GX173,57.3674,-155.2344,BONGO,244.1262136,0.446620971,0,0,0.446620971
