"","X","Station","Grid.ID","LAT","LON","Gear.Sampled","Sta_Pri"
"118",118,173,"gx191",58.456,-153.2895,"BONGO","A"
"119",119,174,"gx193",58.5769,-153.0697,"BONGO","B"
"120",120,175,"gx195",58.6979,-152.8492,"BONGO","A"
"121",121,176,"gx197",58.8188,-152.6279,"BONGO","B"
"122",122,177,"gx199",58.9398,-152.4058,"BONGO","A"
"123",123,178,"gz199",58.825,-152.1978,"BONGO","B"
"124",124,179,"gx201",59.0607,-152.1829,"BONGO","B"
"125",125,180,"gz203",59.0669,-151.7527,"BONGO","B"
"126",126,208,"hl201",58.2573,-150.7439,"BONGO","A"
"127",127,209,"hj201",58.372,-150.9479,"BONGO","A"
"128",128,210,"hh201",58.4868,-151.1523,"BONGO","A"
"129",129,211,"hf201",58.6016,-151.3573,"BONGO","A"
"130",130,212,"hd201",58.7164,-151.5629,"BONGO","A"
"131",131,213,"hb201",58.8312,-151.7689,"BONGO","A"
"132",132,216,"hd197",58.4745,-152.0034,"BONGO","A"
"133",133,218,"hf197",58.3597,-151.7964,"BONGO","A"
"134",134,220,"hh197",58.2449,-151.59,"BONGO","A"
"135",135,225,"hp197",57.7854,-150.76,"BONGO","A"
"136",136,226,"hn197",57.9006,-150.9741,"BONGO","A"
"137",137,227,"hl197",58.0153,-151.1788,"BONGO","A"
"138",138,228,"hj197",58.1301,-151.3841,"BONGO","A"
"139",139,234,"hp193",57.5455,-151.1857,"BONGO","A"
"140",140,235,"hn193",57.6586,-151.4047,"BONGO","A"
"141",141,236,"hl193",57.7734,-151.6108,"BONGO","A"
"142",142,237,"hj193",57.8882,-151.8175,"BONGO","A"
"143",143,238,"hh193",58.003,-152.0247,"BONGO","A"
"144",144,271,"Kodiak",57.78385,-152.4267,"BONGO","A"
