"","Grid.ID","Mean_Z"
"1","FOX56",206.934010152284
"2","FOX57",227.862244897959
"3","FOX58",236.848039215686
"4","FOX59",251.627659574468
"5","FOX60",287.783068783069
"6","FOX61",205.588235294118
"7","GF105",79.3516483516484
"8","GF107",106.540983606557
"9","GH105",74.3928571428571
"10","GH107",112.878378378378
"11","GJ105",83.6
"12","GJ107",88.8571428571429
"13","GN123",127.243243243243
"14","GN125",65.9411764705882
"15","GN127",67.5714285714286
"16","GP123",70.7027027027027
"17","GP125",107.071428571429
"18","GP127",85.9306930693069
"19","GR123",75.3
"20","GR125",94.7752808988764
"21","GR127",88.775
"22","GR135",109.551282051282
"23","GT135",131.827160493827
"24","GT137",141
"25","GT139",97.2857142857143
"26","GT141",150.74358974359
"27","GT145",107.735294117647
"28","GT169",48.5949367088608
"29","GV137",184.808695652174
"30","GV139",160.861111111111
"31","GV141",154.754716981132
"32","GV143",112.754901960784
"33","GV145",117.776785714286
"34","GV147",186.202380952381
"35","GV149",134.141732283465
"36","GV151",146.034482758621
"37","GV153",135.028248587571
"38","GV155",58.7326732673267
"39","GV159",101.807339449541
"40","GV161",145.541666666667
"41","GV163",81.1769911504425
"42","GV165",89.6588235294118
"43","GV167",84.9047619047619
"44","GV169",248.189024390244
"45","GV171",280.709677419355
"46","GV173",294.238095238095
"47","GV175",280.5375
"48","GX135",75.3611111111111
"49","GX137",177.276595744681
"50","GX139",187.937007874016
"51","GX141",151.175
"52","GX143",142.795454545455
"53","GX145",128.589743589744
"54","GX147",119.280575539568
"55","GX149",83.4
"56","GX151",107.792682926829
"57","GX153",155.537190082645
"58","GX155",121.341317365269
"59","GX157",126.892857142857
"60","GX159",158.494791666667
"61","GX161",185.924369747899
"62","GX163",186.573529411765
"63","GX165",225.774193548387
"64","GX167",288.191256830601
"65","GX169",276.32380952381
"66","GX171",261.634285714286
"67","GX173",244.126213592233
"68","GX175",232.487341772152
"69","GX177",221.483516483516
"70","GX179",215.465408805031
"71","GX181",213.808510638298
"72","GX183",208.664670658683
"73","GX185",200.593023255814
"74","GX187",191.441176470588
"75","GX189",317.253333333333
"76","GX191",177.553719008264
"77","GX193",163.386363636364
"78","GX195",158.695652173913
"79","GX197",200.514285714286
"80","GX199",113.936708860759
"81","GX201",144.975
"82","GZ127",137
"83","GZ129",84.9666666666667
"84","GZ131",64.0476190476191
"85","GZ135",87.0595238095238
"86","GZ137",186.463768115942
"87","GZ139",200.301204819277
"88","GZ141",202.517647058824
"89","GZ143",124.73
"90","GZ145",132.373831775701
"91","GZ147",137.142857142857
"92","GZ149",107.627906976744
"93","GZ151",105.04854368932
"94","GZ153",110.725388601036
"95","GZ155",79.4105263157895
"96","GZ157",107.520408163265
"97","GZ159",216.63503649635
"98","GZ161",232.703862660944
"99","GZ163",295.087719298246
"100","GZ165",292.161904761905
"101","GZ167",281.585858585859
"102","GZ169",267.292397660819
"103","GZ171",235.701149425287
"104","GZ173",215.317365269461
"105","GZ175",70.3454545454545
"106","GZ199",121.666666666667
"107","GZ203",81.5714285714286
"108","HB127",572.941176470588
"109","HB129",190.5
"110","HB131",104.744186046512
"111","HB135",103.384615384615
"112","HB137",173.205882352941
"113","HB139",175.711340206186
"114","HB141",104.448979591837
"115","HB143",86.008
"116","HB145",93.7142857142857
"117","HB147",99.5592105263158
"118","HB149",94.5090909090909
"119","HB151",95.2926829268293
"120","HB153",154.105691056911
"121","HB157",231.909836065574
"122","HB159",271.834146341463
"123","HB161",246.314960629921
"124","HB163",233.640625
"125","HB165",235.470085470085
"126","HB167",238.125786163522
"127","HB169",218.762886597938
"128","HB171",148.959677419355
"129","HB173",77.9069767441861
"130","HB199",144.181102362205
"131","HB201",122.26
"132","HB203",92.7474747474748
"133","HB205",51.7105263157895
"134","HD131",505.578947368421
"135","HD135",179.464285714286
"136","HD137",198.865384615385
"137","HD139",116.923076923077
"138","HD141",80.6760563380282
"139","HD143",83.2857142857143
"140","HD145",89.125
"141","HD147",89.6666666666667
"142","HD149",85.7448979591837
"143","HD151",95.8301886792453
"144","HD153",223.336842105263
"145","HD155",202.83185840708
"146","HD157",213.692708333333
"147","HD159",230.423076923077
"148","HD161",99.6304347826087
"149","HD163",76.0882352941177
"150","HD165",68.9736842105263
"151","HD167",73.3456790123457
"152","HD169",68.15625
"153","HD171",76
"154","HD197",100.476635514019
"155","HD199",173.606557377049
"156","HD201",175.141843971631
"157","HD203",128.018518518519
"158","HD205",174.157534246575
"159","HD207",212.8
"160","HD209",123.934210526316
"161","HD211",112
"162","HF131",825.411764705882
"163","HF135",629.815789473684
"164","HF137",143.466666666667
"165","HF139",140.285714285714
"166","HF141",107.592592592593
"167","HF143",84.3271028037383
"168","HF145",103.848484848485
"169","HF147",96.5892857142857
"170","HF149",95.2745098039216
"171","HF151",224.052325581395
"172","HF153",240.41935483871
"173","HF155",230.314285714286
"174","HF157",96.0720720720721
"175","HF159",65.9602649006623
"176","HF161",87.5833333333333
"177","HF163",53.7857142857143
"178","HF197",50.0425531914894
"179","HF199",164.208
"180","HF201",163.964912280702
"181","HF203",176.29347826087
"182","HF205",160.8
"183","HF207",151.925925925926
"184","HF209",116
"185","HF211",121.25
"186","HH141",255.625
"187","HH143",286.218181818182
"188","HH145",243
"189","HH147",117.212121212121
"190","HH149",132.851851851852
"191","HH151",200.888888888889
"192","HH153",247.706293706294
"193","HH155",214.364864864865
"194","HH157",64.9272727272727
"195","HH193",170.619047619048
"196","HH195",73.1428571428571
"197","HH197",69.8
"198","HH199",123.047619047619
"199","HH201",95.3282442748092
"200","HH203",188.714285714286
"201","HH205",190
"202","HH207",147
"203","HH209",172.061538461538
"204","HH211",175.5
"205","HJ145",991.95
"206","HJ147",858.347826086957
"207","HJ149",207.381818181818
"208","HJ151",190.575757575758
"209","HJ153",205.675
"210","HJ155",196.848484848485
"211","HJ191",102.346153846154
"212","HJ193",65.9411764705882
"213","HJ195",96.7777777777778
"214","HJ197",127.040816326531
"215","HJ199",160.978947368421
"216","HJ201",65.9777777777778
"217","HJ203",92.7464788732394
"218","HJ205",207
"219","HJ207",138.605263157895
"220","HJ209",186.625
"221","HJ211",212.274509803922
"222","HL173",74.4492753623188
"223","HL175",152.411764705882
"224","HL177",169.84693877551
"225","HL179",125.125
"226","HL181",89.0480769230769
"227","HL183",125.352941176471
"228","HL185",79.3368421052632
"229","HL187",47.125
"230","HL189",332.439024390244
"231","HL191",99.5
"232","HL193",49.3689320388349
"233","HL195",72.7179487179487
"234","HL197",81.2222222222222
"235","HL199",143.095238095238
"236","HL201",70.1149425287356
"237","HL203",71.1
"238","HL205",89.1060606060606
"239","HL207",146
"240","HL209",175.848484848485
"241","HL211",205.333333333333
"242","HN173",79.1071428571429
"243","HN175",91.7701149425287
"244","HN177",148.666666666667
"245","HN179",65.2117647058824
"246","HN181",143.103448275862
"247","HN183",150.504761904762
"248","HN185",83.3214285714286
"249","HN187",79.030303030303
"250","HN189",70.4523809523809
"251","HN191",159.195652173913
"252","HN193",67.0967741935484
"253","HN195",71.4657534246575
"254","HN197",77.4137931034483
"255","HN199",140.042553191489
"256","HP173",47.25
"257","HP175",44.5
"258","HP177",85.5113636363636
"259","HP179",95.5
"260","HP181",169.979591836735
"261","HP183",72.9090909090909
"262","HP185",74.3870967741936
"263","HP187",63.2941176470588
"264","HP189",68.8651685393258
"265","HP191",174.4
"266","HP193",73.7446808510638
"267","HP195",81.4736842105263
"268","HP197",86.9411764705882
"269","HP199",131.727272727273
