"","Station","Grid.ID","LAT","LON","Gear.Sampled","Sta_Pri"
"33",88,"hd151",55.6925,-156.8644,"BONGO","B"
"34",89,"hb151",55.8073,-157.0871,"BONGO","B"
"35",90,"gz151",55.9221,-157.3105,"BONGO","B"
"36",91,"gx151",56.0368,-157.5346,"BONGO","B"
"37",92,"gv151",56.1516,-157.7594,"BONGO","B"
"38",93,"gv153",56.2726,-157.553,"BONGO","A"
"39",94,"gx153",56.1578,-157.3288,"BONGO","A"
"40",95,"gz153",56.043,-157.1053,"BONGO","A"
"41",96,"hb153",55.9282,-156.8826,"BONGO","A"
"42",97,"hd153",55.8134,-156.6605,"BONGO","A"
"43",98,"hf153",55.6987,-156.439,"BONGO","A"
"44",99,"hh153",55.5839,-156.2183,"BONGO","A"
"45",100,"hj153",55.4691,-155.9982,"BONGO","A"
"46",101,"hj155",55.59,-155.7954,"BONGO","B"
"47",102,"hh155",55.7048,-156.0149,"BONGO","B"
"48",103,"hf155",55.8196,-156.235,"BONGO","B"
"49",104,"hd155",55.9344,-156.4559,"BONGO","B"
"50",105,"gz155",56.164,-156.8995,"BONGO","B"
"51",106,"gx155",56.2787,-157.1224,"BONGO","B"
"52",107,"gv155",56.3935,-157.3459,"BONGO","B"
"53",108,"gx157",56.3997,-156.9153,"BONGO","A"
"54",109,"gz157",56.2849,-156.693,"BONGO","A"
"55",110,"hb157",56.1701,-156.4715,"BONGO","A"
"56",111,"hd157",56.0554,-156.2506,"BONGO","A"
"57",112,"hf157",55.9406,-156.0304,"BONGO","A"
"58",113,"hh157",55.8258,-155.8109,"BONGO","A"
"59",114,"hf159",56.0615,-155.8251,"BONGO","B"
"60",115,"hd159",56.1763,-156.0447,"BONGO,CALVET","B"
"61",116,"hb159",56.2911,-156.265,"BONGO","B"
"62",117,"gz159",56.4059,-156.4859,"BONGO,CALVET","B"
"63",118,"gx159",56.5207,-156.7075,"BONGO","B"
"64",119,"gv159",56.6354,-156.9298,"BONGO,CALVET","B"
"65",120,"gv161",56.7564,-156.7208,"BONGO,CTD","A"
"66",121,"gx161",56.6416,-156.4991,"BONGO","A"
"67",122,"gz161",56.5268,-156.2781,"BONGO,CTD","A"
"68",123,"hb161",56.412,-156.0578,"BONGO","A"
