"Species","MeanCPUE","Year","CPUE_SE","Common_Name2"
"Ammodytes personatus",39.3565187026464,1981,6.31067143374294,"Pacific sand lance"
"Ammodytes personatus",39.4527062400786,1982,7.56506837609974,"Pacific sand lance"
"Ammodytes personatus",42.2713955635728,1983,6.74430875478606,"Pacific sand lance"
"Ammodytes personatus",48.263393801609,1985,7.31787104459771,"Pacific sand lance"
"Ammodytes personatus",18.9264077268208,1987,4.61670607593719,"Pacific sand lance"
"Ammodytes personatus",15.6873821092331,1988,2.75652005729448,"Pacific sand lance"
"Ammodytes personatus",32.226286844963,1989,5.45498064833706,"Pacific sand lance"
"Ammodytes personatus",14.3405453762415,1990,2.72012251803597,"Pacific sand lance"
"Ammodytes personatus",44.6884337664305,1991,9.54538281823002,"Pacific sand lance"
"Ammodytes personatus",31.4750195738889,1992,5.37386967652202,"Pacific sand lance"
"Ammodytes personatus",58.977337908453,1993,13.1453237189999,"Pacific sand lance"
"Ammodytes personatus",23.7977433025643,1994,4.34332690630271,"Pacific sand lance"
"Ammodytes personatus",59.2055320784243,1995,10.8344033641675,"Pacific sand lance"
"Ammodytes personatus",50.7186147516143,1996,10.5474595246385,"Pacific sand lance"
"Ammodytes personatus",20.9312670613141,1997,6.36947964883708,"Pacific sand lance"
"Ammodytes personatus",16.3858047612859,1998,4.05622924086196,"Pacific sand lance"
"Ammodytes personatus",53.3796995874183,1999,11.2605040161831,"Pacific sand lance"
"Ammodytes personatus",71.1253205666577,2000,23.7686775243588,"Pacific sand lance"
"Ammodytes personatus",35.3506030269587,2001,7.0691817352297,"Pacific sand lance"
"Ammodytes personatus",31.0362395934803,2002,9.21788671034421,"Pacific sand lance"
"Ammodytes personatus",17.8011199870293,2003,4.69030677950367,"Pacific sand lance"
"Ammodytes personatus",36.7676124980191,2004,19.1739075976117,"Pacific sand lance"
"Ammodytes personatus",16.9427461082119,2005,5.50221647082087,"Pacific sand lance"
"Ammodytes personatus",123.117952414313,2006,52.9275252461009,"Pacific sand lance"
"Ammodytes personatus",120.064282083377,2007,26.7885354127629,"Pacific sand lance"
"Ammodytes personatus",93.6856587433721,2008,12.4373367675382,"Pacific sand lance"
"Ammodytes personatus",25.8858035164423,2009,2.85116035710061,"Pacific sand lance"
"Ammodytes personatus",23.3522046115681,2010,3.34171146808629,"Pacific sand lance"
"Ammodytes personatus",9.28088683454427,2011,1.92224941301592,"Pacific sand lance"
"Ammodytes personatus",21.7343519410168,2013,3.45442764677938,"Pacific sand lance"
"Ammodytes personatus",15.2964207807863,2015,2.25290937564695,"Pacific sand lance"
"Ammodytes personatus",34.6402177963982,2017,5.92278152865966,"Pacific sand lance"
"Ammodytes personatus",143.058054925405,2019,31.4226633384202,"Pacific sand lance"
"Atheresthes stomias",0.294298405831708,1981,0.273263263916156,"Arrowtooth flounder"
"Atheresthes stomias",0,1982,0,"Arrowtooth flounder"
"Atheresthes stomias",0.367043344940379,1983,0.227433577812205,"Arrowtooth flounder"
"Atheresthes stomias",8.22253850248319,1985,4.73981733773303,"Arrowtooth flounder"
"Atheresthes stomias",0.0866128674605569,1987,0.0866128674605569,"Arrowtooth flounder"
"Atheresthes stomias",0.685645282792714,1988,0.307248240783469,"Arrowtooth flounder"
