"Species","MeanCPUE","Year","CPUE_SE","Common_Name2"
"Ammodytes personatus",55.110866932402,1981,11.1947401442094,"Pacific sand lance"
"Ammodytes personatus",29.6595981868956,1982,7.92530323193154,"Pacific sand lance"
"Ammodytes personatus",40.0571638486094,1983,10.6517374630071,"Pacific sand lance"
"Ammodytes personatus",48.932633916149,1985,7.94021958805314,"Pacific sand lance"
"Ammodytes personatus",23.8721158281461,1987,7.00790807883613,"Pacific sand lance"
"Ammodytes personatus",14.7731122018301,1988,3.30419443448482,"Pacific sand lance"
"Ammodytes personatus",32.2276323918069,1989,6.94292477781321,"Pacific sand lance"
"Ammodytes personatus",14.8397091246456,1990,3.50040890144459,"Pacific sand lance"
"Ammodytes personatus",44.3606831941109,1991,9.43634501323162,"Pacific sand lance"
"Ammodytes personatus",32.5752267529404,1992,8.78083549586055,"Pacific sand lance"
"Ammodytes personatus",44.3457611335333,1993,12.0540778781595,"Pacific sand lance"
"Ammodytes personatus",25.4085277876842,1994,8.95363387027064,"Pacific sand lance"
"Ammodytes personatus",55.5359943997876,1995,15.7599279273786,"Pacific sand lance"
"Ammodytes personatus",45.1126485893924,1996,10.3609031448216,"Pacific sand lance"
"Ammodytes personatus",20.2056496013848,1997,6.86026655260046,"Pacific sand lance"
"Ammodytes personatus",17.1014030999168,1998,6.30770696821329,"Pacific sand lance"
"Ammodytes personatus",53.3124636041845,1999,16.929834721609,"Pacific sand lance"
"Ammodytes personatus",98.3631363313129,2000,36.4242578224613,"Pacific sand lance"
"Ammodytes personatus",42.043319060704,2001,13.0414253448284,"Pacific sand lance"
"Ammodytes personatus",21.7347175622173,2002,4.86692476418229,"Pacific sand lance"
"Ammodytes personatus",18.9990673460177,2003,8.16995665682897,"Pacific sand lance"
"Ammodytes personatus",21.0610116034287,2004,4.39790493651602,"Pacific sand lance"
"Ammodytes personatus",17.4188379054465,2005,8.45249491480252,"Pacific sand lance"
"Ammodytes personatus",64.5051425480126,2006,11.9229283770566,"Pacific sand lance"
"Ammodytes personatus",97.8642404801086,2007,23.9471736728226,"Pacific sand lance"
"Ammodytes personatus",80.1791655468946,2008,14.2063713057451,"Pacific sand lance"
"Ammodytes personatus",28.5385237944365,2009,4.54699821056317,"Pacific sand lance"
"Ammodytes personatus",23.0108731687652,2010,4.33795175557933,"Pacific sand lance"
"Ammodytes personatus",8.43319177322393,2011,3.16258353528759,"Pacific sand lance"
"Ammodytes personatus",25.0259504302147,2013,5.49155433175374,"Pacific sand lance"
"Ammodytes personatus",16.1498863272389,2015,3.76653647853059,"Pacific sand lance"
"Ammodytes personatus",38.7250806490854,2017,9.1588294957369,"Pacific sand lance"
"Ammodytes personatus",140.21848034182,2019,43.7810146905987,"Pacific sand lance"
"Atheresthes stomias",0.540908197760077,1981,0.435604989043115,"Arrowtooth flounder"
"Atheresthes stomias",0,1982,0,"Arrowtooth flounder"
"Atheresthes stomias",0.579082477705213,1983,0.579082477705213,"Arrowtooth flounder"
"Atheresthes stomias",6.92384981605393,1985,4.31537719186344,"Arrowtooth flounder"
"Atheresthes stomias",0,1987,0,"Arrowtooth flounder"
"Atheresthes stomias",0.342151771267355,1988,0.117818900290867,"Arrowtooth flounder"
"Atheresthes stomias",0.77830661107759,1989,0.238812845788448,"Arrowtooth flounder"
"Atheresthes stomias",2.29600987579766,1990,1.16273931863967,"Arrowtooth flounder"
"Atheresthes stomias",0,1991,0,"Arrowtooth flounder"
"Atheresthes stomias",16.8806935700363,1992,9.59115487236394,"Arrowtooth flounder"
"Atheresthes stomias",4.31717353471982,1993,2.83967101330455,"Arrowtooth flounder"
"Atheresthes stomias",7.0087597671185,1994,5.25595458447964,"Arrowtooth flounder"
"Atheresthes stomias",17.3859905807929,1995,11.4951810534315,"Arrowtooth flounder"
"Atheresthes stomias",22.0643235415399,1996,9.11744731665591,"Arrowtooth flounder"
"Atheresthes stomias",17.4282531763675,1997,10.2843346176502,"Arrowtooth flounder"
"Atheresthes stomias",2.44844642073473,1998,1.24542616523405,"Arrowtooth flounder"
"Atheresthes stomias",0.609099653114924,1999,0.44889793337589,"Arrowtooth flounder"
"Atheresthes stomias",0.449467855352651,2000,0.346237587104113,"Arrowtooth flounder"
"Atheresthes stomias",2.57818124118199,2001,0.894098337225335,"Arrowtooth flounder"
"Atheresthes stomias",1.00712424507136,2002,0.780793244929887,"Arrowtooth flounder"
"Atheresthes stomias",0.501025675506711,2003,0.282975168448484,"Arrowtooth flounder"
"Atheresthes stomias",18.7695556924687,2004,13.7763759149308,"Arrowtooth flounder"
"Atheresthes stomias",7.12243151016392,2005,5.17836819306689,"Arrowtooth flounder"
"Atheresthes stomias",5.75485287284307,2006,1.98798326199162,"Arrowtooth flounder"
"Atheresthes stomias",6.41423894948416,2007,3.01166766781828,"Arrowtooth flounder"
"Atheresthes stomias",0.885833710615028,2008,0.564587720919614,"Arrowtooth flounder"
"Atheresthes stomias",0.696569425329478,2009,0.559070529437872,"Arrowtooth flounder"
"Atheresthes stomias",0.436300638101597,2010,0.222941808746523,"Arrowtooth flounder"
"Atheresthes stomias",4.48538320719978,2011,1.90316922003646,"Arrowtooth flounder"
"Atheresthes stomias",1.70084889243582,2013,0.656747074909549,"Arrowtooth flounder"
"Atheresthes stomias",2.14003249996954,2015,1.66564342327298,"Arrowtooth flounder"
"Atheresthes stomias",4.0663514194429,2017,1.56270346847802,"Arrowtooth flounder"
"Atheresthes stomias",0,2019,0,"Arrowtooth flounder"
"Bathymaster spp.",269.165638067548,1981,82.4585690384003,"Ronquils"
"Bathymaster spp.",20.6793354185134,1982,19.7356953269657,"Ronquils"
"Bathymaster spp.",170.424874148606,1983,92.4005143311634,"Ronquils"
"Bathymaster spp.",62.5674543334294,1985,28.6029341651089,"Ronquils"
"Bathymaster spp.",226.221304448205,1987,163.21734684117,"Ronquils"
"Bathymaster spp.",91.429602012843,1988,20.8800457873931,"Ronquils"
"Bathymaster spp.",11.0164864100733,1989,4.46080309028426,"Ronquils"
"Bathymaster spp.",76.0676683210705,1990,17.1296653621603,"Ronquils"
"Bathymaster spp.",10.2471881815307,1991,5.23411301715272,"Ronquils"
"Bathymaster spp.",57.3097925479413,1992,21.1388296350632,"Ronquils"
"Bathymaster spp.",90.4811304130499,1993,25.9523380663419,"Ronquils"
"Bathymaster spp.",22.4170026263046,1994,6.5216141681259,"Ronquils"
"Bathymaster spp.",16.3980528108082,1995,7.31884520527219,"Ronquils"
"Bathymaster spp.",107.117894206559,1996,55.2358812848409,"Ronquils"
"Bathymaster spp.",126.086243210126,1997,37.2573004414433,"Ronquils"
"Bathymaster spp.",115.289802270755,1998,34.3599224711703,"Ronquils"
"Bathymaster spp.",21.5831254684063,1999,13.4187944737806,"Ronquils"
"Bathymaster spp.",58.1814619853262,2000,17.2981513683138,"Ronquils"
"Bathymaster spp.",116.372427544852,2001,32.1621772311404,"Ronquils"
"Bathymaster spp.",106.117674704019,2002,44.1098784539372,"Ronquils"
"Bathymaster spp.",88.2233089594303,2003,26.4902774072872,"Ronquils"
"Bathymaster spp.",29.7060117150212,2004,7.94479243755433,"Ronquils"
"Bathymaster spp.",30.7387289944871,2005,7.73730262855711,"Ronquils"
"Bathymaster spp.",12.4945531413962,2006,4.413482203482,"Ronquils"
"Bathymaster spp.",2.08437691678018,2007,1.01331586081639,"Ronquils"
"Bathymaster spp.",52.0563970705836,2008,25.7422054570836,"Ronquils"
"Bathymaster spp.",16.1824243277851,2009,6.1939626884303,"Ronquils"
"Bathymaster spp.",24.5032652913279,2010,5.79054306280937,"Ronquils"
"Bathymaster spp.",68.5363619010807,2011,19.6321592805853,"Ronquils"
"Bathymaster spp.",32.7866926352048,2013,10.0775976649741,"Ronquils"
"Bathymaster spp.",16.9301773671121,2015,4.71635832863701,"Ronquils"
"Bathymaster spp.",3.00298301962588,2017,2.23058823519561,"Ronquils"
"Bathymaster spp.",0,2019,0,"Ronquils"
"Gadus chalcogrammus",2791.70841785352,1981,613.299963642089,"Walleye pollock"
"Gadus chalcogrammus",41.4602855056043,1982,10.6839707413774,"Walleye pollock"
"Gadus chalcogrammus",323.473992693378,1983,90.7907092938871,"Walleye pollock"
"Gadus chalcogrammus",83.9941027900479,1985,16.0342031977591,"Walleye pollock"
