"DY19Station","DY19LON","DY19LAT","FOCI_GRID","FOCI_GRID_LON","FOCI_GRID_LAT"
48,-158.1012,55.2022,"HB141",-158.1006,55.20248
47,-158.3243,55.3147,"GZ141",-158.3269,55.31726
46,-158.5537,55.4335,"GX141",-158.554,55.43205
45,-158.787,55.5488,"GV141",-158.7818,55.54683
44,-159.014,55.661,"GT141",-159.0103,55.66162
64,-158.6035,55.9055,"GT145",-158.6021,55.90353
63,-158.3715,55.7885,"GV145",-158.3747,55.78875
62,-158.146,55.6767,"GX145",-158.1481,55.67396
61,-157.9212,55.5593,"GZ145",-157.9222,55.55918
60,-157.6938,55.4457,"HB145",-157.6971,55.44439
59,-157.4723,55.3293,"HD145",-157.4726,55.32961
58,-157.2488,55.2138,"HF145",-157.2488,55.21482
57,-157.0265,55.0963,"HH145",-157.0257,55.10004
56,-156.8058,54.9843,"HJ145",-156.8033,54.98526
73,-156.4053,55.2237,"HJ149",-156.402,55.22717
74,-156.629,55.338,"HH149",-156.6232,55.34195
75,-156.8438,55.4537,"HF149",-156.8452,55.45674
76,-157.0708,55.569,"HD149",-157.0678,55.57152
77,-157.2908,55.6862,"HB149",-157.2911,55.68631
78,-157.5145,55.8013,"GZ149",-157.515,55.80109
79,-157.7415,55.917,"GX149",-157.7397,55.91587
80,-157.9672,56.0307,"GV149",-157.9651,56.03066
96,-157.5517,56.273,"GV153",-157.553,56.27257
95,-157.3192,56.152,"GX153",-157.3288,56.15779
94,-157.1052,56.0423,"GZ153",-157.1053,56.043
93,-156.8837,55.926,"HB153",-156.8826,55.92822
92,-156.659,55.814,"HD153",-156.6605,55.81343
91,-156.4385,55.7027,"HF153",-156.439,55.69865
90,-156.2258,55.5848,"HH153",-156.2183,55.58387
89,-156.0025,55.4677,"HJ153",-155.9982,55.46908
104,-155.595,55.7112,"HJ157",-155.592,55.71099
105,-155.903,55.8263,"HH157",-155.8109,55.82578
106,-156.0337,55.9378,"HF157",-156.0304,55.94056
107,-156.2492,56.0513,"HD157",-156.2506,56.05535
108,-156.4768,56.1718,"HB157",-156.4715,56.17013
109,-156.6928,56.2843,"GZ157",-156.693,56.28492
110,-156.9183,56.3998,"GX157",-156.9153,56.3997
122,-156.7238,56.7628,"GV161",-156.7208,56.7564
121,-156.5083,56.6423,"GX161",-156.4991,56.64161
120,-156.301,56.5245,"GZ161",-156.2781,56.52683
119,-156.0688,56.4078,"HB161",-156.0578,56.41204
118,-155.8317,56.2985,"HD161",-155.8382,56.29726
117,-155.6393,56.1813,"HF161",-155.6192,56.18248
129,-155.2048,56.4283,"HF165",-155.2054,56.42439
130,-155.4198,56.5387,"HD165",-155.4231,56.53917
131,-155.642,56.6552,"HB165",-155.6415,56.65396
132,-155.8548,56.767,"GZ165",-155.8606,56.76874
133,-156.0805,56.8817,"GX165",-156.0803,56.88353
134,-156.3032,56.9993,"GV165",-156.3007,56.99831
145,-156.0833,57.3547,"GT169",-156.0833,57.355
144,-155.8745,57.2395,"GT169",-156.0833,57.355
143,-155.6545,57.1232,"GX169",-155.6587,57.12544
142,-155.439,57.0102,"GZ169",-155.4403,57.01065
141,-155.2228,56.8977,"HB169",-155.2225,56.89587
140,-155.0038,56.7867,"HD169",-155.0054,56.78109
151,-154.8037,57.1507,"HB173",-154.8008,57.13778
152,-155.0225,57.2532,"GZ173",-155.0173,57.25257
153,-155.2315,57.3688,"GX173",-155.2344,57.36735
154,-155.4483,57.4832,"GV173",-155.4521,57.48214
158,-154.7818,57.5263,"FOX56",NA,NA
159,-154.8808,57.5588,"FOX57",NA,NA
160,-155.0132,57.6092,"FOX58",NA,NA
161,-155.0678,57.643,"FOX59",NA,NA
162,-155.1688,57.679,"FOX60",NA,NA
163,-155.2583,57.7202,"FOX61",NA,NA
164,-154.804,57.6058,"GX177",-154.8073,57.60926
165,-154.5952,57.7303,"GX179",-154.5927,57.73022
166,-154.3705,57.852,"GX181",-154.3773,57.85118
167,-154.1623,57.9737,"GX183",-154.1612,57.97213
