"Species","MeanCPUE","Year","CPUE_SE","Common_Name2"
"Ammodytes personatus",46.2132898161211,1981,10.3129323222064,"Pacific sand lance"
"Ammodytes personatus",41.5202594015958,1982,12.3292832302353,"Pacific sand lance"
"Ammodytes personatus",38.1982222961457,1983,8.4606155966439,"Pacific sand lance"
"Ammodytes personatus",59.6153912372651,1985,9.58922032675348,"Pacific sand lance"
"Ammodytes personatus",18.5847613700605,1987,5.81259837065517,"Pacific sand lance"
"Ammodytes personatus",16.2844446714264,1988,4.24425001428888,"Pacific sand lance"
"Ammodytes personatus",24.896420036609,1989,5.41912860690386,"Pacific sand lance"
"Ammodytes personatus",11.3181493716082,1990,3.25415322972356,"Pacific sand lance"
"Ammodytes personatus",34.0344615353681,1991,9.96391701549042,"Pacific sand lance"
"Ammodytes personatus",26.6405097551506,1992,5.40425015898726,"Pacific sand lance"
"Ammodytes personatus",45.4183428301238,1993,11.748477689219,"Pacific sand lance"
"Ammodytes personatus",25.1898238009195,1994,5.75307490807806,"Pacific sand lance"
"Ammodytes personatus",75.6325933089737,1995,25.2225733921996,"Pacific sand lance"
"Ammodytes personatus",34.6105074155639,1996,9.31909838020364,"Pacific sand lance"
"Ammodytes personatus",17.8996470630314,1997,6.99999125023229,"Pacific sand lance"
"Ammodytes personatus",21.3413352501865,1998,6.56188886956837,"Pacific sand lance"
"Ammodytes personatus",47.9166448319303,1999,13.4736470835774,"Pacific sand lance"
"Ammodytes personatus",26.4115960785381,2000,8.65354817689519,"Pacific sand lance"
"Ammodytes personatus",35.9054174898382,2001,11.6093242112624,"Pacific sand lance"
"Ammodytes personatus",32.6693680390731,2002,9.36757758145732,"Pacific sand lance"
"Ammodytes personatus",21.5890205128782,2003,8.68629780146556,"Pacific sand lance"
"Ammodytes personatus",50.2408605712407,2004,28.8015916833889,"Pacific sand lance"
"Ammodytes personatus",12.5054674833568,2005,4.07009288673351,"Pacific sand lance"
"Ammodytes personatus",89.4667522745702,2006,19.5829486993883,"Pacific sand lance"
"Ammodytes personatus",139.726136480501,2007,71.7963047571479,"Pacific sand lance"
"Ammodytes personatus",87.1109757477384,2008,16.7226789680589,"Pacific sand lance"
